longitude;latitude;timestamp;sog;tws
8.89746;41.67760;2026-05-06T05:00:12Z;2.33519;2.21405
8.87587;41.67286;2026-05-06T05:24:12Z;4.29668;4.82337
8.85621;41.66508;2026-05-06T05:38:17Z;4.24547;6.15925
8.83636;41.65746;2026-05-06T05:52:27Z;4.12123;8.58231
8.81613;41.65052;2026-05-06T06:07:05Z;4.15109;7.87738
8.79696;41.64262;2026-05-06T06:21:37Z;3.79958;8.90253
8.78158;41.63091;2026-05-06T06:37:26Z;4.04989;8.15403
8.77074;41.61654;2026-05-06T06:52:21Z;4.18051;7.56955
8.76173;41.60134;2026-05-06T07:06:50Z;4.27256;7.30342
8.75677;41.58659;2026-05-06T07:21:00Z;4.54667;7.89497
8.76510;41.57194;2026-05-06T07:34:16Z;6.16906;10.29692
8.77549;41.55701;2026-05-06T07:44:02Z;5.74102;8.96502
8.78670;41.54290;2026-05-06T07:54:32Z;6.19691;10.51063
8.79882;41.52901;2026-05-06T08:04:15Z;6.84848;12.70814
8.81108;41.51508;2026-05-06T08:13:05Z;7.16865;15.09306
8.82319;41.50087;2026-05-06T08:21:29Z;6.29965;14.79123
8.83663;41.48857;2026-05-06T08:31:00Z;5.73959;13.55326
8.85231;41.47698;2026-05-06T08:41:30Z;5.96182;12.65306
8.86595;41.46373;2026-05-06T08:51:36Z;5.88822;12.33650
8.88007;41.45160;2026-05-06T09:01:48Z;5.59798;12.06357
8.89605;41.43942;2026-05-06T09:12:33Z;5.77392;12.24080
8.91485;41.43225;2026-05-06T09:22:59Z;5.43620;10.12805
8.93561;41.42599;2026-05-06T09:34:03Z;5.56914;10.51744
8.95644;41.42024;2026-05-06T09:44:52Z;5.49239;10.58113
8.97725;41.41439;2026-05-06T09:55:50Z;5.38619;11.42928
8.99789;41.40885;2026-05-06T10:06:58Z;5.05690;11.63704
9.01876;41.40332;2026-05-06T10:18:49Z;5.04580;11.79370
9.03959;41.39737;2026-05-06T10:30:44Z;4.84253;11.47241
9.05986;41.39132;2026-05-06T10:43:08Z;4.53902;11.74053
9.08003;41.38460;2026-05-06T10:56:22Z;4.50653;11.56709
9.09890;41.37590;2026-05-06T11:09:40Z;3.96950;11.92133
9.11332;41.37490;2026-05-06T11:24:47Z;4.99832;12.64190
9.12705;41.38001;2026-05-06T11:36:44Z;4.87801;13.53310
