longitude;latitude;timestamp;sog;tws;twd;heading;allure
8.89746;41.67760;2026-05-06T05:00:12Z;2.33519;2.21405;221.23373;162.07559;pres
8.87587;41.67286;2026-05-06T05:24:12Z;4.29668;4.82337;234.01163;237.34531;pres
8.85621;41.66508;2026-05-06T05:38:17Z;4.24547;6.15925;222.40188;237.37986;pres
8.83636;41.65746;2026-05-06T05:52:27Z;4.12123;8.58231;229.65959;238.15822;pres
8.81613;41.65052;2026-05-06T06:07:05Z;4.15109;7.87738;225.22583;240.33398;pres
8.79696;41.64262;2026-05-06T06:21:37Z;3.79958;8.90253;227.05290;229.39483;pres
8.78158;41.63091;2026-05-06T06:37:26Z;4.04989;8.15403;234.39899;213.19441;pres
8.77074;41.61654;2026-05-06T06:52:21Z;4.18051;7.56955;236.65260;202.62526;pres
8.76173;41.60134;2026-05-06T07:06:50Z;4.27256;7.30342;243.53887;198.61991;pres
8.75677;41.58659;2026-05-06T07:21:00Z;4.54667;7.89497;242.21371;177.51434;travers
8.76510;41.57194;2026-05-06T07:34:16Z;6.16906;10.29692;248.34667;150.62034;travers
8.77549;41.55701;2026-05-06T07:44:02Z;5.74102;8.96502;239.03005;148.89141;travers
8.78670;41.54290;2026-05-06T07:54:32Z;6.19691;10.51063;244.72333;144.70480;travers
8.79882;41.52901;2026-05-06T08:04:15Z;6.84848;12.70814;249.59735;144.71534;travers
8.81108;41.51508;2026-05-06T08:13:05Z;7.16865;15.09306;254.70972;144.53492;travers
8.82319;41.50087;2026-05-06T08:21:29Z;6.29965;14.79123;254.85088;146.47316;travers
8.83663;41.48857;2026-05-06T08:31:00Z;5.73959;13.55326;256.75087;132.34022;travers
8.85231;41.47698;2026-05-06T08:41:30Z;5.96182;12.65306;258.98512;136.73719;travers
8.86595;41.46373;2026-05-06T08:51:36Z;5.88822;12.33650;266.24386;142.88282;travers
8.88007;41.45160;2026-05-06T09:01:48Z;5.59798;12.06357;263.80155;136.45380;travers
8.89605;41.43942;2026-05-06T09:12:33Z;5.77392;12.24080;254.07296;124.57376;travers
8.91485;41.43225;2026-05-06T09:22:59Z;5.43620;10.12805;234.35852;109.72836;travers
8.93561;41.42599;2026-05-06T09:34:03Z;5.56914;10.51744;234.62855;107.31019;travers
8.95644;41.42024;2026-05-06T09:44:52Z;5.49239;10.58113;235.89361;107.44003;travers
8.97725;41.41439;2026-05-06T09:55:50Z;5.38619;11.42928;245.93258;106.77357;travers
8.99789;41.40885;2026-05-06T10:06:58Z;5.05690;11.63704;252.49366;104.32479;largue
9.01876;41.40332;2026-05-06T10:18:49Z;5.04580;11.79370;253.41709;104.35490;largue
9.03959;41.39737;2026-05-06T10:30:44Z;4.84253;11.47241;250.81427;104.33015;largue
9.05986;41.39132;2026-05-06T10:43:08Z;4.53902;11.74053;259.99722;104.45556;largue
9.08003;41.38460;2026-05-06T10:56:22Z;4.50653;11.56709;266.54523;109.96608;largue
9.09890;41.37590;2026-05-06T11:09:40Z;3.96950;11.92133;268.42453;150.63934;largue
9.11332;41.37490;2026-05-06T11:24:47Z;4.99832;12.64190;273.04791;59.86676;largue
9.12705;41.38001;2026-05-06T11:36:44Z;4.87801;13.53310;273.09897;59.96096;largue
