longitude,latitude,timestamp,sog,tws,twd,heading,allure,hypernet,net,inline,ctd_keel,ctd_profile,ctd_intercomp,station_hyp
4.285185,39.88688333333334,2026-07-15T15:12:49Z,0.0,10.6,263.7,179.0,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
4.285326666666666,39.88568,2026-07-15T15:18:25Z,3.8,7.5,280.1,153.5,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
4.287041666666667,39.884795000000004,2026-07-15T15:19:52Z,4.7,10.5,239.3,102.4,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
4.289145,39.88438333333333,2026-07-15T15:21:09Z,4.5,10.1,230.9,108.6,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
4.290981666666667,39.883493333333334,2026-07-15T15:22:26Z,4.6,6.9,222.3,119.9,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
4.292848333333334,39.88268,2026-07-15T15:23:43Z,4.7,11.8,244.1,115.9,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
4.294473333333333,39.88160166666667,2026-07-15T15:24:58Z,4.7,9.3,269.9,142.9,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
4.295735,39.880250000000004,2026-07-15T15:26:14Z,4.7,2.5,170.1,142.4,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF,OFF
4.2968850000000005,39.878838333333334,2026-07-15T15:27:35Z,4.6,9.8,243.6,144.5,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
4.298163333333333,39.87750666666667,2026-07-15T15:28:55Z,4.5,7.1,272.0,145.6,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
4.299456666666667,39.87618166666667,2026-07-15T15:30:20Z,4.4,6.0,264.4,136.2,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
4.3008750000000004,39.87493833333333,2026-07-15T15:31:46Z,4.4,6.8,218.0,133.7,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
4.302253333333334,39.873666666666665,2026-07-15T15:33:11Z,4.2,10.5,219.7,142.1,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
4.3035533333333325,39.87235333333333,2026-07-15T15:34:40Z,4.1,13.4,229.3,141.6,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
4.304885,39.871045,2026-07-15T15:36:11Z,4.1,13.9,229.4,130.6,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
4.306313333333334,39.86981333333333,2026-07-15T15:37:48Z,3.9,9.7,213.3,133.6,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
4.3077733333333335,39.86862,2026-07-15T15:39:29Z,3.5,8.9,226.7,145.2,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
4.308948333333333,39.86724,2026-07-15T15:41:02Z,3.9,7.9,246.3,148.2,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
