longitude,latitude,timestamp,sog,tws,twd,heading,allure,hypernet,net,inline,ctd_keel,ctd_profile,ctd_intercomp,station_hyp
-5.357496666666666,36.16027999999999,2026-08-08T05:23:40Z,0.1,3.7,306.0,59.0,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.357473333333333,36.16006,2026-08-08T05:32:31Z,2.0,3.9,285.6,245.7,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.359336666666667,36.15936333333333,2026-08-08T05:34:43Z,3.0,4.0,300.6,242.3,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.361263333333333,36.15882,2026-08-08T05:36:40Z,3.3,4.6,311.7,259.6,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.363271666666666,36.159083333333335,2026-08-08T05:38:17Z,4.0,3.9,309.8,283.3,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.365279999999999,36.15943166666667,2026-08-08T05:39:52Z,4.0,3.0,321.8,281.7,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.367285,36.15920166666667,2026-08-08T05:41:21Z,4.2,3.2,328.1,248.4,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.368613333333333,36.15808166666667,2026-08-08T05:42:55Z,3.9,3.0,343.6,188.1,run,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.368998333333334,36.15645166666666,2026-08-08T05:44:25Z,4.2,3.1,344.0,185.0,run,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.369443333333334,36.154831666666674,2026-08-08T05:45:54Z,3.8,3.4,353.1,186.4,run,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.3697,36.153191666666665,2026-08-08T05:47:36Z,3.2,4.9,356.7,176.5,run,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.369656666666667,36.15155,2026-08-08T05:49:23Z,3.4,4.5,8.1,189.8,run,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.369571666666667,36.14990833333333,2026-08-08T05:51:07Z,3.8,4.9,355.8,182.3,run,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.369469999999999,36.14826,2026-08-08T05:52:39Z,4.2,5.8,333.4,182.9,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.3694766666666665,36.14660166666667,2026-08-08T05:54:06Z,4.2,5.9,340.6,186.6,run,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.369423333333333,36.144951666666664,2026-08-08T05:55:31Z,4.2,3.6,20.0,170.3,run,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.369053333333333,36.143328333333336,2026-08-08T05:56:55Z,4.1,2.3,16.8,185.0,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.369276666666667,36.14167833333333,2026-08-08T05:58:19Z,4.2,1.7,353.3,179.0,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.369033333333334,36.14004833333333,2026-08-08T05:59:43Z,4.4,3.4,306.2,171.1,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.36881,36.138394999999996,2026-08-08T06:01:08Z,4.3,3.2,309.0,164.3,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.3681383333333335,36.13683,2026-08-08T06:02:31Z,4.5,5.2,8.7,153.4,run,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.367468333333333,36.135268333333336,2026-08-08T06:03:54Z,4.3,4.2,298.9,162.2,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.366875000000001,36.13369333333333,2026-08-08T06:05:15Z,4.5,5.7,306.6,157.8,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.366163333333333,36.13212166666666,2026-08-08T06:06:36Z,4.8,3.0,287.6,147.3,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.365386666666666,36.13057833333333,2026-08-08T06:07:56Z,4.7,3.3,280.1,152.9,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.364476666666667,36.1291,2026-08-08T06:09:14Z,4.7,2.9,302.1,152.5,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.363511666666667,36.12764666666667,2026-08-08T06:10:29Z,4.7,1.5,261.5,151.7,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.36278,36.12609,2026-08-08T06:11:42Z,4.8,2.1,281.2,152.7,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.362001666666667,36.12455,2026-08-08T06:12:55Z,4.7,3.5,296.3,151.1,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.361221666666667,36.12300333333334,2026-08-08T06:14:07Z,5.1,2.5,332.3,149.2,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.360395,36.12148666666667,2026-08-08T06:15:17Z,5.0,3.3,321.3,152.5,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.359466666666666,36.12002833333334,2026-08-08T06:16:28Z,4.9,6.2,320.1,143.9,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.358486666666666,36.11855,2026-08-08T06:17:42Z,4.7,3.6,299.4,144.8,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.357416666666667,36.11715,2026-08-08T06:18:54Z,5.0,2.7,342.7,138.0,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.35618,36.11582333333333,2026-08-08T06:20:06Z,4.8,3.5,355.2,143.2,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.354913333333333,36.114515,2026-08-08T06:21:20Z,4.8,1.4,6.5,139.1,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.353579999999999,36.113245,2026-08-08T06:22:34Z,4.9,4.1,5.0,141.8,run,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.352486666666666,36.11184166666667,2026-08-08T06:23:49Z,4.9,5.2,24.0,161.5,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.351341666666667,36.11049333333334,2026-08-08T06:25:03Z,4.9,0.8,345.1,142.0,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.350223333333334,36.109156666666664,2026-08-08T06:26:14Z,5.4,1.1,79.0,187.2,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.350276666666668,36.107488333333336,2026-08-08T06:27:26Z,4.8,2.0,5.6,182.1,run,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.350295,36.10583,2026-08-08T06:28:39Z,5.0,3.5,50.3,182.3,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.3502149999999995,36.10417333333333,2026-08-08T06:29:50Z,5.0,5.8,44.8,186.7,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.350271666666667,36.10250666666666,2026-08-08T06:30:59Z,5.4,7.2,60.9,182.9,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.350201666666667,36.10085333333333,2026-08-08T06:32:05Z,5.6,6.8,45.7,185.6,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.349731666666666,36.09944333333333,2026-08-08T06:33:11Z,5.2,7.2,39.6,69.4,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.3479849999999995,36.100273333333334,2026-08-08T06:34:20Z,5.1,9.2,41.7,135.1,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.347669999999999,36.09868166666667,2026-08-08T06:35:29Z,5.6,8.9,47.6,172.9,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
